/Users/tigran/workspace/dwg_parser/codes/parser.py:397: SyntaxWarning: invalid escape sequence '\P'
  t=t.replace("\P"," ").replace("\\P"," ")
Loaded:  8.256268978118896
elem: name=Leuchtentragschiene_A01KSY1EXE layer=ADE_ET_BEL_Lichtschiene text= ins=(377.5660151539018, 1196.725812507007, 0.0) matrix=(-1276.9536650180123, -1402.2341647250719)
elem: name=B14_A01KSY2BXE layer=ADE_ET_BEL_Wand text= ins=(312.4585791727857, 1189.763713465006, 0.0) matrix=(-1276.9536650180123, -1402.2341647250726)
elem: name=Schaltkreis_A01KSY2CXE layer=ADE_ET_BEL_Wand-TXT text= ins=(307.2236210897001, 1195.440833407826, 0.0) matrix=(-1276.9536650180128, -1402.234164725072)
  * MTEXT None layer=0 text='02F01 ' ins=(307.22362108970015, 1196.8808333933223, 0.0) img_pos=(1032.8888493421646, 427.7901318335744)
elem: name=Schaltkreis_A01KSY2DXE layer=ADE_ET_BEL_Wand-TXT text= ins=(308.9503015523087, 1196.963713392488, 0.0) matrix=(-1276.953665018013, -1402.2341647250714)
  * MTEXT None layer=0 text='B14 ' ins=(308.9503015523087, 1198.4037133779843, 0.0) img_pos=(1043.0690695696223, 418.81869939871467)
elem: name=B14_A01KSY2EXE layer=ADE_ET_BEL_Wand text= ins=(284.1663193609747, 1189.763713465006, 0.0) matrix=(-1276.9536650180123, -1402.2341647250726)
elem: name=Schaltkreis_A01KSY2FXE layer=ADE_ET_BEL_Wand-TXT text= ins=(285.8463193440537, 1195.440833407826, 0.0) matrix=(-1276.9536650180123, -1402.234164725072)
  * MTEXT None layer=0 text='02F01 ' ins=(285.84631934405365, 1196.8808333933223, 0.0) img_pos=(906.851841133554, 427.6932022361825)
elem: name=Schaltkreis_A01KSY2GXE layer=ADE_ET_BEL_Wand-TXT text= ins=(285.8463193440537, 1196.963713392488, 0.0) matrix=(-1276.9536650180123, -1402.2341647250714)
  * MTEXT None layer=0 text='B14 ' ins=(285.84631934405365, 1198.4037133779843, 0.0) img_pos=(906.8518411335567, 418.71394063541356)
elem: name=B14_A01KSY2HXE layer=ADE_ET_BEL_Wand text= ins=(430.4585779111969, 1189.763713465006, 0.0) matrix=(-1276.953665018012, -1402.2341647250726)
elem: name=Schaltkreis_A01KSY2IXE layer=ADE_ET_BEL_Wand-TXT text= ins=(424.9363458310049, 1195.440833407826, 0.0) matrix=(-1276.9536650180125, -1402.234164725072)
  * MTEXT None layer=0 text='02F02 ' ins=(424.9363458310049, 1196.8808333933223, 0.0) img_pos=(1726.9034556289066, 428.32386837117883)
elem: name=Schaltkreis_A01KSY2JXE layer=ADE_ET_BEL_Wand-TXT text= ins=(426.9503002907204, 1196.963713392488, 0.0) matrix=(-1276.9536650180123, -1402.2341647250714)
  * MTEXT None layer=0 text='B14 ' ins=(426.9503002907204, 1198.4037133779843, 0.0) img_pos=(1738.7773954643067, 419.35373850262204)
elem: name=B14_A01KSY2KXE layer=ADE_ET_BEL_Wand text= ins=(402.1663181043466, 1189.763713465006, 0.0) matrix=(-1276.9536650180123, -1402.2341647250726)
elem: name=Schaltkreis_A01KSY2LXE layer=ADE_ET_BEL_Wand-TXT text= ins=(403.8463180874257, 1195.440833407826, 0.0) matrix=(-1276.953665018012, -1402.234164725072)
  * MTEXT None layer=0 text='02F02 ' ins=(403.84631808742574, 1196.8808333933223, 0.0) img_pos=(1602.5601670574833, 428.2282413401117)
elem: name=Schaltkreis_A01KSY2MXE layer=ADE_ET_BEL_Wand-TXT text= ins=(403.8463180874255, 1196.963713392488, 0.0) matrix=(-1276.9536650180123, -1402.2341647250714)
  * MTEXT None layer=0 text='B14 ' ins=(403.8463180874255, 1198.4037133779843, 0.0) img_pos=(1602.5601670574852, 419.24897973934276)
elem: name=S12_A01KSY3HXE layer=ADE_ET_SIBE_Wand text= ins=(230.647163032806, 1178.085809289356, 0.0) matrix=(-1276.9536650180132, -1402.2341647250714)
elem: name=Schaltkreis_A01KSY3IXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(234.0631629984005, 1182.168689248233, 0.0) matrix=(-1276.9536650180125, -1402.234164725071)
  * MTEXT None layer=0 text='LPS01-01-03 ' ins=(234.06316299840046, 1183.6086892337294, 0.0) img_pos=(601.5469818458503, 505.71411548723245)
elem: name=Schaltkreis_A01KSY3JXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(234.0631629983998, 1183.567249234146, 0.0) matrix=(-1276.9536650180132, -1402.2341647250719)
  * MTEXT None layer=0 text='S12 ' ins=(234.06316299839978, 1185.0072492196423, 0.0) img_pos=(601.5469818458487, 497.46787408649107)
elem: name=S12_A01KSY3KXE layer=ADE_ET_SIBE_Wand text= ins=(402.2463181076494, 1220.885808808178, 0.0) matrix=(-1276.9536650180125, -1402.2341647250714)
elem: name=Schaltkreis_A01KSY3LXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(397.81717715226, 1224.171568775084, 0.0) matrix=(-1276.9536650180125, -1402.2341647250712)
  * MTEXT None layer=0 text='US02-1-02-03 ' ins=(397.81717715226, 1225.6115687605804, 0.0) img_pos=(1567.0133569606496, 258.7976734747235)
